school_district,tenant_id
Calaveras Unified School District,b7c1dca8-9568-4484-a9d7-0f21e56ecfe3
Skyline Education Inc,1d47abcd-870d-4041-93d1-560470ecc166
Greene County School System,0ddf6a49-57a8-4c4f-9cdf-6888513e1ef2
Madison City Schools,7313fbfe-a716-4fc5-900b-9ddf747286f2
Franklin Special School District,c9bdf698-3292-4488-bc34-4f2c3d7fd03d
DeSoto Parish Schools,bf7e0603-e8b3-4148-ac1a-4e07b15acb4a
Fayette County Public Schools,b1cf9163-ee49-40a8-919b-d9e54d01f62b
Murfreesboro City Schools,d9e2d1be-3beb-4c3a-826a-68ad0fa7c3fa
Columbia County School District,8cf486c9-fb30-4004-8851-83738c118ef7
Tangipahoa Parish School System,0076b6fe-cea5-4652-88f6-34712a38fa0a
Clark County Public Schools,23c31959-c582-4f78-bff6-0c7e7e876d82
Columbus State University,13af7b2e-c715-454c-a4ba-89068846110d
Killeen Independent School District,2b3c7fa3-a23f-4916-9dac-28113db66042
Midway Independent School District,69c09f85-9a23-49e1-8c7c-e90ba3081407
Oceanside Unified School District,a3ef7d7f-124b-46c9-9018-507ff16d3665
Greensville County Public Schools,110c7678-f387-45f1-b1bc-5caba0f2ea6d
Katy Independent School District,b2db5031-9b95-46c6-b5cf-c5a77d5cad1d
Wayne Trace Local School District,0250df44-ad52-494d-b904-3c56ec383469
Bonner School District,7f7d7e45-f4c8-44aa-b19b-4a0eac66b7e4
Park City Public Schools,53233684-eca1-42f6-b8ce-70472d22c5b3
Trinity School District #4,f04441f6-52f1-4574-a0be-267e1ffbcdf5
Midland Public Schools,31d941a9-49fc-4a43-85ae-7f9bd74e0759
Ohio County Schools,5834531f-a542-4ad0-91af-6129f8dcb4f8
Hardin Public Schools,178c7b31-b513-4607-ad95-a0d736fed66e
Baltimore City Public Schools,4bef1680-4aac-4e83-a810-f9b1e2bce789
Framingham Public Schools,95a9cfa2-6993-45ef-99a7-e20ef2df9ecf
Barnegat Township School District,740c4252-f9b4-4c1a-bcbe-59a442542b2e
Wetzel County Schools,a4db2e87-7d60-4d20-9fcb-6384946ddc24
Herricks Public Schools,f1be2a5c-24be-485a-aa39-53a9c9508a8b
"Tony""s Team Transport",c61284e4-3004-4f10-b317-ac68b90f5187
Liberty-Eylau Independent School District,e57d7986-2d70-4a87-846f-7e6533b408a6
